REF,THE,PUBLICATION,CITY,STATE,COUNTRY,AWARD,SECTION,MULT?,chapter,subchapter,EST.,COMMENT,CAT,GENERAL CATEGORY,SPECIFIC CATEGORY,HEADLINE,Name1,Title1,Name2,Title2,Name3,Title3,Name4,Title4,Name5,Title5,Name6,Title6,Name7,Title7,Name8,Title8,Name9,Title9,Name10,Title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,
1,,Bild am Sonntag,Berlin,,GERMANY,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,,,11Ad,Opinion Design,"Single Page/Compact 175,000 and over",Is Our Christian Society headed for a new Reformation?,Saulo Santana,Art Director,Marion Horn,Chief Editor,Thomas Drechsler,Vice Chief Editor,,,,,,,,,,,,,,,,03-WBD,2,,06-NEWS,News Design [Sections],6,,03-WBD,2,2,,,,
2,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,,,14A,Photography [Single Photos],General News (planned),Girl on bus,Robert Kirkham,Photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,,,,,04-MED,84,,06-NEWS,News Design [Pages],186,,04-MED,206,58,,,06-BNT,28
3,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,,08-VISUAL,08-PHOTO,,,14A,Photography [Single Photos],General News (planned),YIR: Hillary Clinton,Carolyn Cole,Photographer,Mary Cooney,Director of Photography,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,06-NEWS,351,,06-NEWS,Breaking News Topics,64,,05-MULT,362,120,,,06-OPINION,19
4,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,08-VISUAL,MED-PD2,04-MED,,,,14A,Photography [Single Photos],General News (planned),LeBron James in Car,Joshua Gunter,photographer,,,,,,,,,,,,,,,,,,,,07-FEA,155,,06-NEWS,Opinion ,1,,06-NEWS,155,155,31,,06-PAGES,79
5,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST2,05-MULT,,0.2,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",The Republican,Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Doug Chayka,Illustrator,,,,,,,,,,,,,,08-VISUAL,308,,06-NEWS,Special News Topics,79,,07-FEA,107,107,21.4,,06-SNT,29
6,,Gulf News,Dubai,,UNITED ARAB EMIRATES,Award of Excellence,06-NEWS,MULT-GN1,05-MULT,,1,,11Ae,Opinion Design,"Single Page/Compact 50,000-174,999",Unloveable face at EU,Ramachandra Babu,Senior Illustrator,Manal Alafrangi,Opinion Editor,Miguel Angel Gomez,Design Director,Mohammed Almezel,M.E.,Abdul Hamid Ahmad,Executive Director Publications,,,,,,,,,,,,09-SC,148,,07-FEA,Features Design [Sections],9,,08-VISUAL,165,165,33,,07-PAGES,63
7,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,,,11Ab,Opinion Design,"Single Page/Broadsheet 50,000-174,999",Trumpty Dumpty,Chloe Cushman,Illustrator,Genevi_ve Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,10-RE,8,,07-FEA,Features Design [Pages],84,,09-SC,53,53,13.25,,07-MAGS,44
8,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP2,05-MULT,,0.25,,11Ab,Opinion Design,"Single Page/Broadsheet 50,000-174,999",Russia_s  Murderers,Chloe Cushman,Illustrator,Genevi_ve Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,11-PORT,88,,11-PORT,Page Design [Individual Portfolio],38,,10-RE,7,7,,,08-ILLO,65
9,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,,,11Ab,Opinion Design,"Single Page/Broadsheet 50,000-174,999",The Value of Zoos,Chloe Cushman,Illustrator,Genevi_ve Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,1144,,11-PORT,Page Design [Staff Portfolio],32,,11-PORT,87,78,19.5,,08-INFO,30
10,,Politiken,Copenhagen,,DENMARK,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,,,11Ab,Opinion Design,"Single Page/Broadsheet 50,000-174,999",600 hundred refugee children drowned in the Mediterranean in 2016,S_ren Nyeland,Design Editor,Philip Ytournel,Cartoonist,Mads Zacho,Opinion Editor,,,,,,,,,,,,,,,,,,,09-SC,Special Coverage,28,,,1144,,,,08-PHOTO,70
