REF,The,Publication,CITY,STATE,COUNTRY,AWARD,CAT,SECT,SUBSECT,NEWSECT,CHAP,MULT,PAGE,COMMENT?,GENERAL CATEGORY,SPECIFIC CATEGORY,HEADLINE,Name1,Title1,Name2,Title2,Name3,Title3,Name4,Title4,Name5,Title5,Name6,Title6,Name7,Title7,Name8,Title8,Name9,Title9,Name10,Title10
1,,Gulf News,Dubai,,UNITED ARAB EMIRATES,Award of Excellence,04F,NEWS,BNT,NEWS,6,,,,Breaking News Topics,Terrorism,Paris Attacks,Talib Jariwala,Deputy Design Editor,S M Arshad,Design Editor,Jose Barros,Designer,Miguel Angel Gomez,Design Director,Mohammed Almezel,,Abdul Hamid Ahmad,Editor-in-Chief,,,,,,,,
2,,Politiken,Copenhagen,,DENMARK,Award of Excellence,11D,VISUAL,Cart,MULT,5,MULT-PKN1,,,Editorial Cartoons,, Vi er Charlie - Je Suis Charlie,Roald Als,Cartoonist,,,,,,,,,,,,,,,,,,
3,The,Washington Post,Washington,D.C.,,Award of Excellence,11Ba,NEWS,Op,NEWS,6,,,,Opinion Design,"Cover Story/Broadsheet 175,000 and over",The image-makers,Chris Rukan,Art Director,Bronwen Latimer,Deputy Director of Photography,Charles Ommaney,Photographer,Matt McClain,Photographer,Jabin Boltsford,Photographer,Michael S. Williamson,Photographer,Adam Kushner,Outlook Editor,MaryAnne Golon,Director of Photography,Greg Manifold,Design Director,,
4,The,Boston Globe,Boston,Mass.,,Award of Excellence,11Ca,NEWS,Op,MULT,5,MULT-BG5,,,Opinion Design,"Sections/Broadsheet 175,000 and over",Ideas section,Heather Hopp-Bruse,Opinion design supervisor,Katie Kingsbury,Editor,Alex Kingsbury,Deputy Editor,Ellen Clegg,"Editor, editorial page",Dan Zedek,A.M.E./Design,,,,,,,,,,
5,,Bild am Sonntag,Berlin, ,GERMANY,Award of Excellence,04F,NEWS,BNT,NEWS,6,,,,Breaking News Topics,Terrorism,WAR against our way of living,Saulo Santana,Art Director,Marion Horn,Chief Editor,Thomas Drechsler,Vice Chief Editor,,,,,,,,,,,,,,
6,The,Globe and Mail,Toronto,Ont.,CANADA,Award of Excellence,11Ba,NEWS,Op,NEWS,6,,,,Opinion Design,"Cover Story/Broadsheet 175,000 and over",Ideas section,Devin Slater,Design Director,Jason Chiu,Art Director,Moe Doiron,Photo Editor,Ben Barrett-Forrest,Assistant Art Director,Matt French,Assistant Art Director,Rachel Wine,Assistant Photo Editor,,,,,,,,
7,The,(London) Guardian,London,,ENGLAND,Award of Excellence,04F,NEWS,BNT,NEWS,6,,,,Breaking News Topics,Terrorism,MPs back Cameron,Chris Clarke,Deputy Creative Director,,,,,,,,,,,,,,,,,,
8,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,11D,VISUAL,Cart,MULT,5,MULT-LAT3,,,Editorial Cartoons,,Brodner: Donald’s Skeletons,Steve Brodner,Artist,,,,,,,,,,,,,,,,,,
9,The,Business Times,Singapore, ,SINGAPORE,Award of Excellence,11D,VISUAL,Cart,VISUAL,8,,,,Editorial Cartoons,,A silent vigil for Charlie Hebdo,Simon Ang,Infographics Editor,,,,,,,,,,,,,,,,,,
10,,Welt am Sonntag,Berlin,,GERMANY,Award of Excellence,04F,NEWS,BNT,NEWS,6,,,,Breaking News Topics,Terrorism,Terror at Ramadan,Jan-Eric Peters,Chief Executive Editor,Beat Balzli,Deputy Editor,Marie-Luise Müller,Art Director,Maud Radtke,Art Director,,,,,,,,,,,,
