REF,The,Publication,City,State,Country,Award,CAT,General Category Name,Specific Category Name,Headline,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
1,The,New York Times,New York,N.Y.,,Award of Excellence,04B,Breaking News Topics,Editor's Choice: National,"Stalled on Golf Coast, Storm Deepens Misery in Waterlogged Texas",Rebecca Rillos,,,,,,,,,
2,,Svenska Dagbladet,Stockholm,,SWEDEN,Award of Excellence,04B,Breaking News Topics,Editor's Choice: National,The terror hit the middle of Stschholm,Fredric Karén,Ebba Bonde,Johanna Aggestam,Sophie Thomasson,Tomas Oneborg,Anders Tōrnqvist,Clas Reimegåro,Michael Granzell,David Standar,Therese Loberg
3,The,New York Times,New York,N.Y.,,Award of Excellence,05B,Special News Topics,Editor's Choice: National,Poetry,Wayne Kamidoi,Morrigan McCarthy,Kerri MacDonald,,,,,,,
4,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,14A,Photography [Single Photos],General News (planned),Jayden,Sharon Cantillon,Cathaleen Curtiss,Vince Chiaramonte,,,,,,,
5,The,(London) Sunday Times,London,,ENGLAND,Award of Excellence,04B,Breaking News Topics,Editor's Choice: National,Grenfell Tower Disaster,Hayley Dalrymple,Russel Herneman,,,,,,,,
6,The,New York Times,New York,N.Y.,,Award of Excellence,04B,Breaking News Topics,Editor's Choice: National,Lights Out for O’Reilly,Molly Bedford,Fred Bierman,Leslie de la Vega,,,,,,,
7,,Estado de Minas,Belo Horizonte,,brazil,Award of Excellence,04B,Breaking News Topics,Editor's Choice: National,The List of Fachin,Júlio Moreira,Carlos Marcelo,,,,,,,,
8,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,11Da,Editorial Cartoons,,I’m dreaming of a White Christmas,Steve Brodner,Wes Bausmith,,,,,,,,
9,The,(London) Sunday Times,London,,ENGLAND,Award of Excellence,11Db,Editorial Cartoons,Portfolio,Editorial Cartoon Portfolio,Morten Morland,,,,,,,,,
10,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,11Da,Editorial Cartoons,,Art of the Deal,Adam Zyglis,,,,,,,,,
